Hidden Layers,Number of nodes,Solver,Alpha,Test Set RMSE,Train Set RMSE,Learning Rate,Early Stopping,Learning Rate Init,Activation Function
3,"3,2,0.001",adam,0.001,56.4877374939279,,,,,
3,"3,1,0.0005",adam,0.0005,56.4990206923218,,,,,
3,7-2-1,adam,0.002,56.4990394667673,48.6734295274235,constant,False,0.002,
3,6-3-1,adam,0.0017,56.5019844026979,52.5648062760469,invscaling,True,0.001,
3,"5,3,0.002",adam,0.002,56.5024766836268,,,,,
2,6-2,adam,0.002,56.5042949483951,48.4989702248178,constant,False,,
4,"3,3,10,0.004",adam,0.004,56.5062058118729,,,,,
3,5-1-2,sgd,0.0015,56.5083937853978,,,,,
2,6-3,adam,0.002,56.508516285931,53.5009097132421,constant,True,,
3,6-2-2,sgd,0.001,56.516390440985,,,,,
3,"6,1,0.004",adam,0.004,56.517624159775,,,,,
3,"4,3,0.001",adam,0.001,56.5202026368548,,,,,
2,7-4,adam,0.0018,56.526565849416,54.3190640981439,constant,True,0.0005,
3,"5,3,1",adam,1,56.5349248944569,,,,,
3,"5,1,0.004",adam,0.004,56.5384391530691,,,,,
2,6-4,adam,0.0015,56.5523755600573,51.3128895998949,invscaling,True,0.001,
3,"5,1,0.0005",adam,0.0005,56.5644999449797,,,,,
3,6-3-1,adam,0.002,56.5650499885489,,,,,
4,"6,3,10,0.0005",sgd,0.0005,56.5920652270767,,,,,
4,"3,10,20,0.004",adam,0.004,56.5931532267674,,,,,
4,"3,10,20,0.001",adam,0.001,56.6005668411592,,,,,
4,"3,10,10,0.002",sgd,0.002,56.6045902260958,,,,,
3,"3,3,0.004",adam,0.004,56.6107266731236,,,,,
3,5-3-2,adam,0.002,56.6145210102491,,,,,
3,6-3-1,sgd,0.002,56.6226358420154,,,,,
4,"5,3,10,0.0005",adam,0.0005,56.6237847576375,,,,,
3,5-3-2,adam,0.002,56.6282877938597,,,,,
3,5-2-2,adam,0.0015,56.6301762603266,49.0264805354972,constant,False,,
4,"3,10,20,0.0005",adam,0.0005,56.6417163074178,,,,,
2,6-4,adam,0.0015,56.6418092616616,53.0351503163369,invscaling,True,0.0005,
3,6-4-1,adam,0.0018,56.650734386402,52.9399579119982,invscaling,True,0.002,
2,6-2,adam,0.0018,56.659058429658,49.8701579428252,constant,False,0.001,
3,"6,3,0.0005",adam,0.0005,56.6596129951403,,,,,
4,"4,2,10,0.002",sgd,0.002,56.66486779886,,,,,
3,"5,2,0.004",adam,0.004,56.6691674266594,,,,,
3,6-3-2,adam,0.0017,56.6718886144451,47.7979446144282,invscaling,False,,
3,"4,1,0.001",adam,0.001,56.6817736831102,,,,,
3,"5,3,0.002",adam,0.002,56.6909149110113,,,,,
4,"5,3,10,0.001",adam,0.001,56.6918446537454,,,,,
2,6-2,adam,0.0017,56.6957904168064,52.014424212531,constant,True,0.002,
3,6-2-1,adam,0.002,56.7031765672901,53.1175457722388,invscaling,True,0.002,
3,6-3-1,adam,0.0015,56.7055611820177,47.9951492887719,constant,False,0.001,
3,"5,2,0.002",adam,0.002,56.707619225275,,,,,
3,5-3-2,sgd,0.002,56.7119353603329,,,,,
3,"4,2,0.004",adam,0.004,56.7214656448228,,,,,
2,6-4,lbfgs,0.002,56.7249219171441,44.8955500650314,invscaling,True,0.001,
3,6-2-2,adam,0.0017,56.7283326518349,48.7704154052781,constant,False,,
4,"3,2,10,0.004",adam,0.004,56.7339594328442,,,,,
2,7-3,lbfgs,0.0017,56.7343448665744,45.8082130767979,invscaling,False,0.0005,
3,6-2-2,adam,0.0015,56.7503863557022,,,,,
2,7-4,adam,0.0018,56.7559891794799,52.7904943965599,invscaling,True,0.002,
4,"3,10,20,0.002",adam,0.002,56.7573823687572,,,,,
3,5-3-2,adam,0.002,56.759132334902,,,,,
2,6-3,adam,0.0017,56.7614934732787,52.7569968195761,invscaling,True,0.002,
3,"4,1,0.002",adam,0.002,56.7814637182259,,,,,
3,7-4-1,adam,0.002,56.7817965640202,52.1606744197707,invscaling,True,0.002,
2,6-4,adam,0.0017,56.7868546903369,53.3568891877387,invscaling,True,0.0005,
2,6-3,lbfgs,0.0015,56.790207333645,46.1976770374661,constant,True,,
2,7-4,adam,0.0018,56.7910403655292,48.7308936152887,constant,False,0.0005,
2,6-3,adam,0.0015,56.7928194698594,52.231907482692,constant,True,0.002,
4,"3,2,20,0.001",adam,0.001,56.793426888311,,,,,
4,"4,2,10,0.0005",sgd,0.0005,56.7934934443737,,,,,
3,6-2-1,adam,0.002,56.794576264238,,,,,
3,7-2-1,adam,0.0017,56.798633043192,52.9979133376336,constant,True,0.002,
3,"6,2,0.002",adam,0.002,56.802965338006,,,,,
2,6-4,adam,0.0017,56.8042690063759,48.9300229299158,constant,False,0.001,
3,6-3-1,adam,0.0015,56.8139579561627,47.8270893941037,invscaling,False,0.001,
3,7-4-1,adam,0.0018,56.8264103332049,52.8874658248128,constant,True,0.002,
2,7-3,lbfgs,0.0015,56.8277804035152,45.8790967918969,constant,False,0.002,
4,"4,3,10,0.001",adam,0.001,56.8291870354297,,,,,
4,"4,2,20,0.004",adam,0.004,56.8299847336158,,,,,
2,6-2,lbfgs,0.0017,56.8332567995161,47.430747517699,constant,True,0.0005,
3,6-3-2,adam,0.0022,56.8361134275553,53.9389180285261,constant,True,,
4,"6,2,20,0.0005",adam,0.0005,56.8377819105122,,,,,
3,"4,1,0.0005",adam,0.0005,56.8419503114798,,,,,
3,5-3-1,sgd,0.0015,56.8455892853766,,,,,
4,"3,10,10,0.001",sgd,0.001,56.854884326409,,,,,
3,"5,3,2",adam,0.0001,56.86,,,,,
2,6-3,lbfgs,0.0018,56.8673216401968,46.2013960450263,invscaling,False,0.002,tanh
3,"5,3,0.002",adam,0.002,56.8674209039988,,,,,
3,"4,3,0.002",adam,0.002,56.8688720250486,,,,,
3,6-4-1,adam,0.0015,56.8706669486591,50.252610445636,invscaling,False,0.001,
3,"5,2,0.004",adam,0.004,56.8728033161528,,,,,
3,7-4-1,adam,0.002,56.8742149148871,48.2611372488031,invscaling,False,0.001,
2,7-4,adam,0.0017,56.8758024613604,49.8619627767708,constant,False,0.0005,
2,7-2,adam,0.0015,56.8762872117782,47.0103198776288,constant,False,0.002,
4,"6,3,10,0.004",sgd,0.004,56.8790646423042,,,,,
4,"4,3,20,0.001",adam,0.001,56.88784801314,,,,,
2,6-3,adam,0.0015,56.8879134450858,52.2933980669198,invscaling,True,,
2,7-2,adam,0.0015,56.8891434524643,47.8686653176776,invscaling,False,0.001,
3,7-2-1,adam,0.0018,56.8904744037136,52.1022941145868,invscaling,True,0.001,
3,6-3-1,adam,0.0015,56.8923344443759,52.7567458328015,constant,True,0.002,
2,6-3,adam,0.0015,56.8942467643022,48.2229843236032,invscaling,False,0.0005,
2,7-3,lbfgs,0.0017,56.8995719136712,46.8385844755041,invscaling,True,0.001,
4,"4,10,10,0.001",adam,0.001,56.900377106877,,,,,
3,5-3-2,adam,0.002,56.9025672625222,,,,,
2,5-3,adam,0.002,56.9030397886416,49.9812570597309,constant,False,,
4,"6,3,20,0.004",adam,0.004,56.9038217701292,,,,,
3,5-2-2,adam,0.0015,56.9092838355294,,,,,
3,5-3-2,adam,0.002,56.9121384167202,,,,,
4,"3,2,10,0.002",adam,0.002,56.9222967594995,,,,,
2,7-4,adam,0.0017,56.9258497103603,46.8599183195823,constant,False,0.002,
4,"4,3,20,0.004",sgd,0.004,56.9294852498756,,,,,
3,"4,1,0.002",adam,0.002,56.9362648584851,,,,,
4,"3,3,20,0.001",sgd,0.001,56.9529702301574,,,,,
3,7-2-1,adam,0.0015,56.9599414314192,53.0117767191695,constant,True,0.001,
3,"6,3,0.001",adam,0.001,56.9608675575897,,,,,
2,6-3,adam,0.002,56.9612008885995,48.0332900074893,invscaling,False,0.002,
3,"4,3,0.002",adam,0.002,56.982484544198,,,,,
3,6-1-2,adam,0.002,56.9900633236318,,,,,
2,6-3,lbfgs,0.0015,56.9906344579305,45.1652682191549,constant,False,0.0005,relu
2,7-4,adam,0.0017,56.9962828987707,49.0653654275731,invscaling,False,0.0005,
2,6-3,lbfgs,0.0017,57.0066056411742,46.2828200506738,invscaling,False,0.002,tanh
3,6-2-2,sgd,0.0015,57.0081653941204,,,,,
3,5-1-1,adam,0.001,57.0088391741126,,,,,
2,6-2,adam,0.002,57.0096372018469,48.0685852881951,invscaling,False,0.001,
3,"4,1,1",adam,1,57.0157743474199,,,,,
4,"6,3,10,0.001",adam,0.001,57.0202385404665,,,,,
3,6-4-1,adam,0.0017,57.0238510363032,50.0150541219262,invscaling,False,0.001,
2,6-3,lbfgs,0.0018,57.0270477312911,44.9992702898808,invscaling,True,,
3,"4,1,0.004",adam,0.004,57.0333737961831,,,,,
3,6-3-2,lbfgs,0.0015,57.0473501302552,53.3450509283114,adaptive,True,,
3,"6,2,0.004",adam,0.004,57.0477510814095,,,,,
2,5-2,adam,0.002,57.0515462516352,48.803213007354,constant,False,,
4,"5,3,10,0.0005",sgd,0.0005,57.0518916516831,,,,,
