Hidden Layers,Number of nodes,Solver,Alpha,Test Set RMSE,Train Set RMSE,Learning Rate,Early Stopping,Learning Rate Init,Activation Function
2,7-4,lbfgs,0.002,62.2782637314859,43.9299305679818,constant,True,,
3,6-2-1,adam,0.001,62.2857753566989,,,,,
2,7-3,lbfgs,0.002,62.2881610230327,46.2726188950197,constant,True,,
3,6-3-2,adam,0.002,62.2954895239261,46.6012680196579,constant,False,,
2,7-4,lbfgs,0.0017,62.298401870375,43.6805253656731,constant,False,0.001,
2,7-2,lbfgs,0.0015,62.3040666430694,44.6317418353453,invscaling,True,0.0005,
4,"6,3,20,0.0005",sgd,0.0005,62.3100996444354,,,,,
2,6-2,lbfgs,0.002,62.3137171126506,46.0235626878417,invscaling,False,0.0005,
2,6-4,lbfgs,0.0017,62.3279245023276,45.5645903992552,constant,True,,
2,6-3,adam,0.0017,62.3354613649279,46.9558381326201,constant,False,,
2,6-3,lbfgs,0.0017,62.3460755992694,47.3146878087418,invscaling,True,0.0005,tanh
4,"5,10,20,0.004",adam,0.004,62.3747405872596,,,,,
2,6-3,lbfgs,0.002,62.3775261366442,45.861594896557,adaptive,True,,
3,6-2-1,lbfgs,0.002,62.3829532480918,44.3334824792007,invscaling,True,0.002,
2,6-3,lbfgs,0.0015,62.3833195236174,45.239813989956,constant,False,0.001,
3,6-2-2,lbfgs,0.002,62.3978966946903,44.6709278374816,constant,False,,
2,6-3,lbfgs,0.0022,62.4023781022129,47.0510512302188,invscaling,True,,
2,7-2,lbfgs,0.0017,62.443472286342,45.9446945437648,invscaling,True,,
4,"6,3,20,0.001",sgd,0.001,62.444844922018,,,,,
2,6-3,lbfgs,0.0018,62.4472086005047,45.1058470612803,constant,True,0.0005,relu
2,5-2,lbfgs,0.0017,62.4580279028529,47.0688211179198,constant,False,,
4,"5,3,20,0.002",sgd,0.002,62.4626248355308,,,,,
2,7-3,lbfgs,0.0018,62.4648914293015,44.4042087347807,constant,True,,
2,7-4,lbfgs,0.0022,62.4761193929467,45.7731886753087,constant,True,,
2,6-3,lbfgs,0.0015,62.4770738971661,47.5507431742409,adaptive,True,,
3,6-3-1,lbfgs,0.0018,62.4772540530048,46.6083358848073,constant,False,0.0005,
2,7-3,lbfgs,0.002,62.4781967065922,47.1632519509119,constant,True,0.002,
3,6-2-1,lbfgs,0.002,62.4805005995943,,,,,
2,6-3,adam,0.0017,62.483715910203,47.7838108279409,adaptive,False,,
2,6-3,lbfgs,0.0017,62.4868183322668,46.4382128714073,constant,False,0.002,tanh
3,5-3-2,lbfgs,0.001,62.4949422456289,45.9663534659321,constant,False,,
2,7-3,lbfgs,0.002,62.5113877966094,46.1467144231448,invscaling,False,0.002,
2,7-4,adam,0.0018,62.5145454268517,43.3944063888892,constant,False,0.002,
2,7-4,lbfgs,0.0017,62.5237983814934,46.0026644038296,constant,True,,
2,6-3,lbfgs,0.0017,62.5323793310069,46.4678492562192,invscaling,True,0.001,
2,7-2,adam,0.0018,62.5331007702552,47.8842203704043,invscaling,False,0.0005,
2,6-4,lbfgs,0.002,62.5384689955896,45.9220159488124,invscaling,False,0.002,
2,6-3,adam,0.0017,62.5411613671209,46.2374280795024,invscaling,False,0.0005,
2,6-4,lbfgs,0.0017,62.5713908636983,45.8523306105794,constant,True,,
2,6-3,lbfgs,0.0017,62.5851606529375,46.6831660233089,adaptive,True,,
2,6-2,lbfgs,0.0018,62.5958400415587,45.9162442838272,constant,False,0.002,
2,7-4,adam,0.0018,62.5989504559812,43.5994262251936,constant,False,0.001,
3,7-2-1,lbfgs,0.002,62.6098146493534,42.6888867819566,invscaling,False,0.001,
2,6-3,adam,0.0017,62.6294766210696,47.2621784946932,constant,False,,
2,7-4,lbfgs,0.0018,62.6315299186905,46.6148599601718,constant,False,0.0005,
2,6-3,lbfgs,0.0015,62.6325292526194,45.1580910415576,constant,True,0.0005,
3,5-2-1,lbfgs,0.002,62.6532463824725,,,,,
2,7-4,lbfgs,0.0015,62.6646829172083,45.5573380183311,invscaling,False,0.002,
2,6-4,lbfgs,0.002,62.6682449161572,45.4158100244009,invscaling,True,0.002,
2,7-3,adam,0.0015,62.6781888464607,46.5940623399644,constant,False,0.002,
3,6-1-2,sgd,0.001,62.6949244489032,,,,,
2,5-2,lbfgs,0.001,62.7000842164983,47.2239853096652,constant,False,,
2,6-3,lbfgs,0.0015,62.7049573897262,46.8904177061603,constant,True,0.0005,tanh
2,7-3,lbfgs,0.0015,62.7104964520037,45.9793809227107,constant,True,,
3,5-1-2,lbfgs,0.002,62.7134978382087,,,,,
3,7-2-1,lbfgs,0.0015,62.7153305878122,47.3819155942122,invscaling,True,0.001,
3,6-2-1,adam,0.002,62.7236271762298,46.4530041868061,constant,False,0.0005,
3,6-2-2,adam,0.0015,62.733077924114,47.1311641955346,constant,False,,
2,7-2,lbfgs,0.0017,62.7420806854004,46.2182258190405,constant,True,0.0005,
4,"6,3,20,0.0005",adam,0.0005,62.7445134046237,,,,,
3,5-3-1,adam,0.001,62.7561698282928,,,,,
2,6-2,lbfgs,0.0018,62.7585069058494,46.6264609102267,invscaling,True,,
2,6-3,lbfgs,0.0015,62.7719170363088,,,,,
2,6-4,lbfgs,0.0015,62.779771045017,45.855551175123,constant,False,0.0005,
2,6-3,lbfgs,0.0017,62.7860819322837,44.5015386972592,invscaling,False,,
2,7-4,lbfgs,0.0015,62.7965607127432,46.7733018720965,constant,True,,
2,6-3,lbfgs,0.0017,62.7987770906073,47.051537930186,constant,True,0.002,tanh
4,"6,10,20,0.0005",adam,0.0005,62.8274799607611,,,,,
3,"6,3,0.004",adam,0.004,62.8355529523395,,,,,
2,6-3,lbfgs,0.0017,62.8429280118652,44.0153392287812,constant,False,,
2,6-3,lbfgs,0.0017,62.8777731374208,47.2827964486086,invscaling,True,,
3,"5,3,3",adam,0.0001,62.89,,,,,
4,"5,10,10,0.002",sgd,0.002,62.8969590581029,,,,,
3,5-2-2,lbfgs,0.002,62.9001901044787,,,,,
3,6-3-1,lbfgs,0.0015,62.900425698632,43.634169151603,invscaling,True,0.001,relu
3,7-3-1,adam,0.0015,62.9228397341838,46.838041872962,constant,False,0.001,
2,7-4,lbfgs,0.0015,62.9297220644085,42.9609888731694,invscaling,True,0.0005,
2,6-3,lbfgs,0.0018,62.9375813131558,46.0614984654944,constant,False,0.002,relu
3,6-3-1,lbfgs,0.0015,62.9564872703467,44.0038192059156,invscaling,True,0.0005,relu
3,6-1-2,adam,0.002,62.9694208052068,,,,,
4,"6,10,10,0.002",adam,0.002,62.9725391388935,,,,,
3,5-3-2,lbfgs,0.002,62.9726198657873,,,,,
2,6-4,lbfgs,0.0018,62.9734046156358,46.7983227203718,constant,False,0.001,
2,6-2,lbfgs,0.0017,62.9736434797328,44.9717336030744,constant,True,0.001,
2,6-3,lbfgs,0.0018,62.9795007644182,44.2671151371583,constant,False,0.002,tanh
2,6-4,lbfgs,0.002,62.9832959654515,47.6378244151376,constant,True,,
2,6-4,lbfgs,0.0018,62.9840923631887,45.0273862863997,invscaling,False,0.002,
2,6-4,lbfgs,0.002,62.9859722295641,45.2853093510362,constant,False,0.001,
2,7-4,lbfgs,0.002,62.9882378557978,43.1089214772979,invscaling,True,0.0005,
2,6-2,lbfgs,0.0018,63.0063856705035,45.6491633539666,constant,False,,
2,6-4,lbfgs,0.0015,63.0116110851342,47.4748238819957,invscaling,True,,
3,7-4-1,lbfgs,0.0017,63.0252811517577,45.0639125605821,invscaling,True,0.001,
2,7-3,lbfgs,0.0015,63.0451027590773,44.887043356078,invscaling,True,,
2,6-4,lbfgs,0.002,63.0566596040137,47.0699069296799,constant,True,,
3,"5,3,0.0005",adam,0.0005,63.0567414549193,,,,,
2,7-2,lbfgs,0.0017,63.0648254134424,45.8662050809497,invscaling,True,0.0005,
2,6-3,lbfgs,0.0015,63.0651871681405,46.3836776759576,constant,True,0.001,relu
2,6-3,lbfgs,0.002,63.0736705338819,45.9453401304793,constant,False,0.0005,
3,6-4-1,lbfgs,0.0017,63.1081061034161,46.4097127343091,invscaling,False,0.0005,
2,6-3,lbfgs,0.0018,63.1300281982582,46.8557324040642,invscaling,False,0.002,relu
3,5-2-1,lbfgs,0.0015,63.1320408479001,,,,,
2,6-3,lbfgs,0.0015,63.1320594612862,45.2115773600859,constant,True,,
2,7-4,lbfgs,0.0018,63.1390529057893,45.4516047958854,constant,False,0.001,
3,6-3-2,lbfgs,0.0015,63.1399601232294,43.985580965271,constant,False,,
2,6-4,lbfgs,0.002,63.1451830761869,44.5451182536184,invscaling,False,0.001,
2,6-4,lbfgs,0.0017,63.1535555537761,47.1253136068474,invscaling,True,0.002,
3,6-3-1,lbfgs,0.0017,63.1589993192707,46.9478676201763,invscaling,False,0.002,
2,5-2,lbfgs,0.002,63.188211307421,,,,,
2,6-3,lbfgs,0.002,63.1923525071213,45.8450251174669,constant,False,,
2,7-4,lbfgs,0.0015,63.2057816844169,46.0828177339404,constant,False,,
2,6-2,lbfgs,0.0017,63.2278120190345,46.5861538156376,invscaling,False,0.002,
2,7-2,lbfgs,0.0015,63.2348195565483,44.8472581634895,constant,False,0.002,
2,7-3,lbfgs,0.0015,63.2450216768818,46.0311615096067,invscaling,False,0.001,
2,7-4,lbfgs,0.0015,63.2607761937068,44.029613139387,invscaling,True,,
3,6-2-2,lbfgs,0.0015,63.2749609786184,45.8844956217181,constant,False,,
3,6-3-2,lbfgs,0.001,63.28311982453,,,,,
3,6-3-2,lbfgs,0.0015,63.2978693804673,45.0784688384626,constant,False,,
2,6-3,lbfgs,0.0015,63.3023198301772,47.1623915485427,invscaling,False,0.001,tanh
2,7-2,lbfgs,0.0015,63.3273222046932,45.6002493069673,invscaling,True,0.002,
3,7-2-1,lbfgs,0.0018,63.3286547176109,46.5208711934871,constant,False,0.001,
3,5-3-2,lbfgs,0.001,63.3311373424106,,,,,
4,"6,10,20,0.0005",adam,0.0005,63.3371303172546,,,,,
2,6-3,adam,0.0022,63.3418933235153,52.5069678571473,invscaling,True,,
3,6-3-2,lbfgs,0.0017,63.3452452374569,46.1524700094702,constant,False,,
3,6-3-2,lbfgs,0.002,63.3523335090191,41.6570169550378,invscaling,False,,
2,6-4,lbfgs,0.0018,63.3537592544347,47.5043557002261,constant,True,0.0005,
3,6-2-2,adam,0.002,63.3546744885794,,,,,
2,6-3,lbfgs,0.002,63.3553358807758,43.8581241490361,invscaling,False,0.002,relu
2,7-3,adam,0.002,63.3591484967417,47.4667184236153,constant,False,0.0005,
2,6-4,lbfgs,0.002,63.372416807669,46.1566571851093,invscaling,True,,
3,7-3-1,lbfgs,0.0017,63.3724183905982,43.539938024389,invscaling,True,0.002,
2,5-3,lbfgs,0.0015,63.3790347438418,47.1614906877748,constant,False,,
2,7-2,lbfgs,0.0015,63.3812431880199,46.0503423882577,invscaling,False,,
3,5-3-2,sgd,0.002,63.3882158156435,,,,,
3,7-4-1,lbfgs,0.0015,63.3900393954102,43.3572822644801,constant,False,0.002,
3,6-2-1,lbfgs,0.0015,63.3942720942036,43.9045873662943,constant,False,,
2,6-3,lbfgs,0.0017,63.3953877389736,46.7124393706136,constant,True,0.002,
2,7-2,adam,0.002,63.398066919485,44.8643817906278,constant,False,0.002,
3,5-2-2,lbfgs,0.0017,63.3988732177968,45.5411983454583,constant,False,,
2,7-4,lbfgs,0.0015,63.4105930346418,45.5289179261459,invscaling,True,,
2,7-3,lbfgs,0.002,63.4132970731896,44.3187175637552,constant,False,,
2,6-3,lbfgs,0.0015,63.4144508602268,45.873534245982,constant,False,,
2,7-3,lbfgs,0.0017,63.4200681114162,46.3419425804611,constant,False,,
3,6-2-2,lbfgs,0.0017,63.4213943631543,48.9282157281143,constant,False,,
2,6-4,lbfgs,0.0017,63.4303974043843,44.7134211925596,constant,True,0.002,
3,6-3-1,lbfgs,0.002,63.4624391826733,46.3645276169178,constant,False,0.001,relu
2,7-3,lbfgs,0.002,63.4756887521882,44.5516134063369,invscaling,True,0.0005,
3,6-3-2,adam,0.002,63.4783809378189,,,,,
2,7-2,lbfgs,0.0018,63.4818459575668,45.0494271344092,invscaling,True,0.0005,
2,6-3,lbfgs,0.0017,63.4932014349758,46.3786920848023,constant,True,,
3,6-2-2,adam,0.0015,63.5040892737584,,,,,
2,6-3,lbfgs,0.0018,63.5094350191867,45.7967473541225,constant,False,0.002,
3,6-3-1,lbfgs,0.0017,63.5173707447076,45.4477823403814,constant,False,0.002,
3,6-3-1,lbfgs,0.0015,63.5174921057121,46.3726611373769,constant,True,0.0005,
3,6-3-1,lbfgs,0.002,63.5221313314041,,,,,
2,6-3,lbfgs,0.0018,63.5627010672157,47.240426892894,constant,True,,
2,6-3,lbfgs,0.002,63.5632452094927,44.3888917732766,constant,True,0.0005,relu
2,6-3,lbfgs,0.0017,63.5763955456414,45.9277870043267,invscaling,False,0.0005,relu
2,7-2,lbfgs,0.0015,63.5788416568664,45.8666033972848,invscaling,True,0.001,
2,6-3,lbfgs,0.0015,63.5828933725922,43.9704099188636,constant,False,,
2,7-3,lbfgs,0.0017,63.5841691191905,45.9137711981528,constant,False,0.0005,
2,7-4,lbfgs,0.0015,63.5912656887786,45.9189779295605,constant,True,,
3,7-2-1,lbfgs,0.002,63.6126846633175,43.8347515769237,constant,True,0.002,
3,6-2-2,lbfgs,0.0015,63.613179492647,44.6365115396202,constant,False,,
2,6-3,lbfgs,0.0018,63.6254796275133,47.5056036712566,constant,False,0.0005,tanh
3,7-3-1,lbfgs,0.0015,63.6316801007033,43.8471752076268,constant,False,0.001,
3,6-2-1,lbfgs,0.0015,63.6372106085858,,,,,
2,6-3,lbfgs,0.002,63.6403716694734,46.6164358176202,constant,False,,
2,7-3,lbfgs,0.0017,63.6431313006091,46.2533437214803,constant,False,0.002,
2,6-3,lbfgs,0.0015,63.6479294006887,45.0263478840574,invscaling,True,,
3,6-3-1,lbfgs,0.0015,63.6495325394673,44.902872676507,constant,True,0.001,relu
2,6-3,lbfgs,0.0015,63.6566736629848,45.861214696075,invscaling,False,,
2,6-3,lbfgs,0.0017,63.6570623757375,45.3421627572535,constant,True,0.002,relu
2,6-4,lbfgs,0.0017,63.6576927479545,45.9090230487806,invscaling,False,,
2,7-3,lbfgs,0.0022,63.6731439781271,43.6117172365628,invscaling,True,,
2,7-3,lbfgs,0.002,63.6809513162217,46.3670029329965,invscaling,True,,
2,7-2,lbfgs,0.002,63.7056378230837,45.9919349124901,invscaling,True,,
3,6-3-2,lbfgs,0.0015,63.7123592621893,44.1040373128801,constant,False,,
3,6-1-1,adam,0.0015,63.7377900853275,,,,,
2,6-4,lbfgs,0.002,63.7427262975739,46.3933648594168,invscaling,False,0.0005,
3,6-3-1,lbfgs,0.0018,63.7474457033653,42.5638798915765,constant,True,0.002,relu
3,5-2-1,lbfgs,0.001,63.7693273833178,,,,,
2,6-3,lbfgs,0.002,63.777381486024,46.9183878972488,invscaling,True,,
2,6-3,lbfgs,0.0017,63.7829647465339,46.2362488889888,constant,True,,
2,7-4,lbfgs,0.0017,63.7902186688415,41.5346635071556,invscaling,False,0.0005,
2,7-3,lbfgs,0.002,63.8021276627424,46.5214663911149,invscaling,False,0.001,
3,6-2-1,lbfgs,0.0015,63.8040696165846,,,,,
3,6-3-2,adam,0.002,63.8042118583254,,,,,
3,6-2-2,adam,0.0015,63.8384140146186,59.5768507682923,constant,False,,
2,7-3,lbfgs,0.002,63.847802865638,45.5495069521862,constant,True,0.001,
2,7-3,lbfgs,0.0018,63.868324615539,45.2661456230403,invscaling,True,,
2,7-3,lbfgs,0.0015,63.8687603495016,44.8025026170954,constant,True,,
2,6-3,lbfgs,0.002,63.8790348937459,,,,,
2,6-2,lbfgs,0.002,63.8829276431171,47.2129132846595,constant,True,,
4,"5,3,20,0.004",sgd,0.004,63.8942116366936,,,,,
2,6-3,lbfgs,0.0015,63.9041963883493,45.3139954869091,constant,False,0.002,
2,7-4,lbfgs,0.0018,63.9095825939469,44.0012089985557,constant,True,,
3,6-2-1,lbfgs,0.0018,63.9181677500662,46.8473661146946,invscaling,False,0.0005,
2,7-3,adam,0.0018,63.9225251823938,58.574486203562,constant,True,0.0005,
2,6-3,lbfgs,0.0017,63.9242018925446,45.8626165416739,constant,False,,
2,7-3,lbfgs,0.002,63.924485150919,45.1690672096038,constant,True,0.0005,
3,5-2-2,lbfgs,0.0015,63.93780702306,,,,,
3,5-3-1,lbfgs,0.002,63.9419196387055,,,,,
2,7-3,lbfgs,0.002,63.9460001224514,40.333347155694,constant,False,0.001,
3,6-3-2,adam,0.001,63.9466423370689,47.1210581664728,constant,False,,
3,6-3-1,lbfgs,0.0015,63.9545494143854,46.6125480871494,invscaling,True,0.001,tanh
2,6-2,lbfgs,0.0017,63.9677556659571,46.0089643033223,constant,True,,
4,"6,3,10,0.004",adam,0.004,63.9707611836982,,,,,
2,7-4,lbfgs,0.0017,63.9744190591182,44.7333851027101,constant,True,,
3,7-4-1,lbfgs,0.0018,63.9765523899772,41.2719072816012,constant,False,0.001,
2,6-4,lbfgs,0.0018,63.9891658263541,46.0910036289044,invscaling,False,0.001,
2,7-2,lbfgs,0.0017,63.9968096171978,45.6775296316564,constant,False,0.0005,
2,6-2,lbfgs,0.0017,64.0022837756221,44.704932627101,constant,False,,
2,7-2,lbfgs,0.0015,64.003347658996,45.7668055797145,constant,False,0.0005,
2,6-3,lbfgs,0.0017,64.0136192970262,46.332105720775,constant,False,0.001,
3,6-3-1,lbfgs,0.002,64.0650773898071,46.6358562894575,constant,False,0.001,tanh
2,6-2,lbfgs,0.0015,64.0673581950925,44.5587112511946,constant,True,0.002,
2,6-3,lbfgs,0.002,64.1125065929062,46.8793572969896,constant,True,,
3,6-3-1,lbfgs,0.0018,64.117001680808,44.8772547751571,constant,False,0.001,tanh
2,7-3,lbfgs,0.0015,64.1311436096496,47.1999803896711,constant,True,,
2,7-4,lbfgs,0.0017,64.1796400208907,44.283455350852,invscaling,True,,
2,6-4,lbfgs,0.0017,64.1801699270863,45.0640413529343,invscaling,False,0.0005,
2,6-2,lbfgs,0.0017,64.1921465455862,45.7892943013745,constant,False,,
3,6-3-2,lbfgs,0.002,64.1959339461323,45.1979300587057,adaptive,False,,
3,7-3-1,lbfgs,0.002,64.2603462912725,42.1612340312087,invscaling,False,0.0005,
3,6-4-1,lbfgs,0.0015,64.2672619895507,42.9186096304502,constant,False,0.001,
2,6-3,lbfgs,0.0018,64.270860273702,43.3537608389217,invscaling,True,0.001,
2,7-4,lbfgs,0.0018,64.2721953380887,43.510050156749,constant,False,,
2,6-2,lbfgs,0.002,64.2730473612553,47.3711151363876,invscaling,False,0.001,
2,6-3,lbfgs,0.0015,64.2962595045863,46.7692422183346,invscaling,False,0.002,relu
3,6-3-1,lbfgs,0.0015,64.2966547353788,45.7190201931253,invscaling,True,0.0005,tanh
2,6-3,lbfgs,0.002,64.3030188891542,46.155608546807,constant,True,,
2,6-2,lbfgs,0.002,64.3114113624773,50.0070887572741,constant,False,,
3,6-3-1,lbfgs,0.0018,64.3228168841512,45.4117201298821,invscaling,True,0.002,tanh
3,"5,3,0.001",adam,0.001,64.3238112797361,,,,,
2,6-3,lbfgs,0.0015,64.3256596944084,44.2116111579459,invscaling,True,0.0005,
2,6-4,lbfgs,0.0018,64.3267954734793,42.8431138970339,invscaling,True,,
2,7-4,lbfgs,0.002,64.328161599938,44.3325201108845,constant,True,,
2,6-3,lbfgs,0.002,64.3386286073321,46.0817748405069,constant,False,0.002,relu
2,7-2,lbfgs,0.002,64.3404713803847,46.3364204206936,invscaling,False,0.0005,
2,6-2,lbfgs,0.0015,64.3465323088849,45.3078223130707,constant,False,,
2,7-4,lbfgs,0.002,64.3532200434213,43.5255852658979,constant,True,,
3,6-2-1,adam,0.0018,64.3687770248574,57.681896610888,invscaling,True,0.002,
3,6-3-1,lbfgs,0.002,64.3770206627055,44.3580008895227,constant,False,0.0005,tanh
3,6-3-1,lbfgs,0.0017,64.3789347931528,45.5233558269617,constant,False,0.002,tanh
3,7-3-1,lbfgs,0.0017,64.393551312184,43.3503184117992,invscaling,False,0.0005,
3,6-3-1,lbfgs,0.0018,64.3943872250238,46.9257286092898,invscaling,False,0.002,tanh
2,6-3,lbfgs,0.002,64.4179321272755,43.8958031093151,invscaling,False,0.002,tanh
2,7-4,lbfgs,0.0017,64.4186546531175,44.5022547336469,invscaling,False,,
3,6-3-1,lbfgs,0.0015,64.422838520726,43.0526887638224,invscaling,True,0.001,
2,7-4,lbfgs,0.0018,64.4240400979614,46.8320080122269,invscaling,False,,
2,6-2,lbfgs,0.0018,64.4447108959935,45.9362392018037,constant,True,0.001,
3,7-3-1,lbfgs,0.002,64.4450434113061,38.5395986774159,invscaling,False,0.002,
2,6-2,lbfgs,0.002,64.4626811695441,46.1592445851924,invscaling,True,0.0005,
2,6-4,lbfgs,0.0015,64.4646875365439,43.5330529053888,constant,False,0.002,
3,6-3-1,lbfgs,0.0017,64.51270530878,43.006241886839,invscaling,False,0.001,tanh
2,6-2,adam,0.0015,64.5371549469857,47.2560448894302,constant,False,0.0005,
2,7-4,lbfgs,0.0018,64.5390907741794,44.7501408574806,invscaling,True,0.0005,
3,5-3-1,lbfgs,0.002,64.5434671660142,,,,,
2,6-3,lbfgs,0.0015,64.5512585668651,44.456355354208,invscaling,True,,
2,6-3,lbfgs,0.0017,64.5560252145083,44.5432912475478,invscaling,True,,
2,6-4,lbfgs,0.0017,64.5683342483351,46.8202085051269,constant,True,0.0005,
2,7-3,lbfgs,0.0017,64.5722516639104,43.0108361710092,constant,True,,
3,7-4-1,lbfgs,0.0017,64.5747231899462,46.4039612681442,constant,True,0.0005,
3,7-3-1,lbfgs,0.0018,64.5804636123845,42.207297250777,constant,True,0.002,
2,6-2,lbfgs,0.002,64.608894016424,47.0049701726617,invscaling,True,,
2,6-4,lbfgs,0.0015,64.612466337024,46.2945211346552,constant,True,0.001,
2,7-3,lbfgs,0.0017,64.6135873381308,40.8464273044734,invscaling,True,0.0005,
3,6-3-2,adam,0.002,64.6162430879966,46.4915070249099,constant,False,,
3,6-2-1,lbfgs,0.002,64.6192197936032,,,,,
2,6-4,lbfgs,0.002,64.6368646356369,42.5215237265626,invscaling,False,,
3,6-4-1,lbfgs,0.002,64.6369856921067,40.7421939598775,constant,False,0.001,
2,7-4,lbfgs,0.0018,64.6371586206117,42.0724861816259,invscaling,False,0.001,
2,7-2,lbfgs,0.0015,64.6443918072666,45.2902757372059,invscaling,True,,
2,7-4,lbfgs,0.0017,64.6451210078125,43.2643449657089,invscaling,True,,
2,6-3,lbfgs,0.0015,64.6461885166531,46.8591095592728,invscaling,True,0.0005,relu
3,6-3-1,lbfgs,0.0017,64.6597877164552,45.1266230800285,constant,True,0.002,tanh
2,6-4,lbfgs,0.002,64.6655572545027,44.5837578831626,invscaling,True,0.0005,
3,6-3-2,lbfgs,0.0015,64.6886271349241,42.990927602841,constant,False,,
2,6-3,lbfgs,0.0015,64.744824324264,45.3694267345794,constant,False,,
3,5-2-1,sgd,0.002,64.7510628593081,,,,,
2,6-3,lbfgs,0.0017,64.7603143864032,45.6865868018329,constant,True,,
2,7-2,lbfgs,0.0017,64.7704463783903,44.2792206087499,invscaling,True,,
2,6-3,lbfgs,0.0017,64.8276920320664,45.0755801350651,invscaling,False,0.002,
3,6-4-1,lbfgs,0.0015,64.8511497741439,44.5796451532014,constant,False,0.002,
3,5-3-2,lbfgs,0.001,64.8623637544978,,,,,
2,6-3,lbfgs,0.002,64.8640568389246,46.6485340320946,invscaling,True,0.0005,
3,6-3-1,lbfgs,0.0015,64.8740520957446,,,,,
2,5-3,lbfgs,0.0017,64.9009938103281,48.2661973411109,constant,False,,
2,6-4,lbfgs,0.002,64.9012606754402,43.6776418838085,constant,True,,
2,7-2,lbfgs,0.002,64.9176582995292,45.9668362527567,constant,True,0.002,
2,6-2,adam,0.0017,64.9241578007654,47.6500225278882,constant,False,0.0005,
2,6-3,lbfgs,0.0018,64.9276989627751,44.945818866512,constant,True,0.002,
2,6-3,lbfgs,0.0017,64.9293972386352,45.2006639671337,constant,True,,
2,6-3,lbfgs,0.0018,64.9325491632857,44.3443225142515,constant,False,0.001,relu
2,7-3,lbfgs,0.0015,64.9382556632126,44.0090999195628,invscaling,True,0.002,
2,6-3,lbfgs,0.0017,64.9422123195646,46.5254718664294,invscaling,False,0.001,
3,7-2-1,lbfgs,0.0018,64.9581364131879,46.6471972895109,invscaling,True,0.002,
2,6-2,lbfgs,0.0017,64.9908113117188,44.7204775045221,invscaling,True,0.002,
3,6-3-2,lbfgs,0.0022,64.996938885645,45.7521023802322,invscaling,False,,
2,6-3,lbfgs,0.002,65.0058026563881,46.5997180653987,invscaling,False,0.0005,
4,"6,2,10,0.001",adam,0.001,65.0078511232885,,,,,
3,6-3-1,lbfgs,0.0018,65.0094672986026,44.7379684653997,invscaling,True,0.001,
2,6-3,lbfgs,0.0015,65.0224151883264,46.8977247185697,invscaling,False,0.0005,relu
3,6-3-1,lbfgs,0.0015,65.0459502640214,45.3553198942829,invscaling,False,0.0005,tanh
3,6-1-2,adam,0.0015,65.0537374314296,,,,,
3,7-4-1,adam,0.002,65.0712148981853,46.6445453354606,invscaling,False,0.002,
2,6-2,lbfgs,0.0015,65.1173623638439,46.4522149704903,invscaling,True,0.002,
3,7-3-1,adam,0.0015,65.1282342563253,44.5993510617944,constant,False,0.0005,
3,5-3-1,lbfgs,0.001,65.1701158842666,,,,,
2,6-3,lbfgs,0.0022,65.2009117209119,46.1520705334509,invscaling,True,,
3,6-2-1,lbfgs,0.0015,65.209269365598,43.7716336190351,invscaling,False,0.001,
2,7-2,lbfgs,0.0017,65.2196072463755,40.9972919552408,invscaling,False,0.0005,
3,6-2-1,lbfgs,0.0015,65.2276508558322,45.4920650409546,constant,False,0.001,
4,"5,10,20,0.002",sgd,0.002,65.2305967676241,,,,,
3,7-3-1,lbfgs,0.0017,65.2517400781292,39.8975873990633,invscaling,False,0.001,
2,6-3,lbfgs,0.0018,65.2819329329154,46.5340028744799,invscaling,True,0.002,relu
2,7-2,lbfgs,0.0017,65.2992071595038,45.0894567864003,constant,True,,
3,5-3-2,lbfgs,0.002,65.3144518177511,45.8229288129113,constant,False,,
3,"4,3,0.001",adam,0.001,65.3193827231363,,,,,
3,6-2-1,lbfgs,0.002,65.3350472473209,,,,,
2,7-4,lbfgs,0.0017,65.3443208640961,43.0341631809643,invscaling,False,0.002,
3,7-2-1,lbfgs,0.0017,65.3448236917368,46.7356430053842,invscaling,True,0.0005,
2,7-4,lbfgs,0.0015,65.3448457832813,43.6258158982735,invscaling,False,,
3,6-2-1,lbfgs,0.0015,65.3826430250164,44.3852751804145,constant,True,0.001,
3,6-3-1,lbfgs,0.002,65.3953718767123,47.1772288588338,constant,True,0.0005,relu
2,7-2,lbfgs,0.0018,65.3970507226236,45.0868831429531,constant,False,0.002,
4,"5,10,10,0.002",adam,0.002,65.421894059776,,,,,
3,6-3-1,lbfgs,0.0018,65.4267671271119,43.4386121791443,invscaling,True,0.002,relu
3,6-1-2,lbfgs,0.002,65.4319720626384,,,,,
2,6-2,lbfgs,0.0018,65.4335330803982,46.6611752622076,constant,False,0.0005,
2,6-3,lbfgs,0.002,65.4354993586552,46.1408040406664,constant,True,,
2,7-4,lbfgs,0.0015,65.4545900707781,44.8564364628485,constant,False,0.002,
2,6-3,adam,0.0015,65.4795361630336,46.3195046656813,invscaling,False,,
2,7-2,lbfgs,0.0018,65.4831809988571,44.7859506379773,constant,False,0.0005,
2,6-3,lbfgs,0.001,65.5008604700992,,,,,
2,6-4,adam,0.002,65.5062841087908,44.9642028813947,invscaling,False,0.0005,
2,6-3,lbfgs,0.0015,65.5184038265032,44.6186453414916,invscaling,True,0.002,
2,6-3,adam,0.0017,65.5236435677004,43.670096436062,constant,False,,
